,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,
TFC_data.pkl,27/10/1980,14/06/2024,15936 days,71.17117117,1784.6503,38979.84608,-82.153497,1595.159571,-42.8178508,55.22189304,0,0,0,-95.58251162,-14.55649964,8330 days,822 days 00:00:00,69,40.57971014,1000.144841,-43.58637459,46.70416276,926 days,137 days 00:00:00,23.10013267,122.4716292,4.114835815,SSLStrategy,
LYG_data.pkl,15/02/2002,28/06/2024,8169 days,51.06951872,1871.24968,15244.8374,-81.2875032,-93.62893788,-67.67305226,32.49413126,0,0,0,-89.44263976,-38.59257046,5391 days,2515 days 00:00:00,27,29.62962963,30.80428596,-56.86274668,-6.022025722,500 days,121 days 00:00:00,0.515116097,-4.251344673,-1.308293198,SSLStrategy,
UPS_data.pkl,24/01/2000,23/07/2024,8947 days,68.79432624,1905.295266,10786.30261,-80.94704734,93.45454592,-62.75728245,22.90797794,0,0,0,-82.33597428,-52.83536249,7159 days,4374 days 00:00:00,38,23.68421053,15.40327011,-28.11053453,-4.368059732,575 days,135 days 00:00:00,0.295244544,-3.972434368,-2.424837348,SSLStrategy,
UPST_data.pkl,12/04/2021,24/07/2024,1199 days,26.82926829,1914.376303,10000,-80.85623697,-77.75208904,-99.99613549,0.011903105,0,0,0,-80.85623697,-80.85623697,525 days,525 days 00:00:00,3,0,-6.336085361,-62.37238808,-42.53125535,99 days,61 days 00:00:00,0,-38.2848987,-1.700166682,SSLStrategy,
MDLZ_data.pkl,19/09/2001,16/07/2024,8336 days,69.9751861,2043.311672,10000,-79.56688328,103.1790084,-62.95366763,22.40299895,0,0,0,-80.32616416,-80.32616416,7992 days,7992 days 00:00:00,36,22.22222222,15.79784441,-33.96399232,-4.341698301,401 days,130 days 00:00:00,0.283843965,-3.857853867,-2.230562373,SSLStrategy,
CX_data.pkl,4/01/2000,8/07/2024,8952 days,58.44504021,2072.490682,13388.17604,-79.27509318,-34.59981755,-65.46812242,46.68887078,0,0,0,-92.99076995,-29.90839954,6632 days,1683 days 00:00:00,22,31.81818182,123.9583282,-56.97559577,-6.908809737,492 days,196 days 00:00:00,0.923873571,-1.114621809,-1.069157275,SSLStrategy,
AAL_data.pkl,5/12/2005,16/07/2024,6798 days,56.47058824,2631.635823,12410.19841,-73.68364177,-65.40958235,-73.26706375,74.5408771,0,0,0,-78.79457092,-42.04153103,3645 days,1624 days 00:00:00,20,35,87.22929083,-67.47681279,-6.461878435,543 days,156 days 00:00:00,0.915891193,-1.060026617,-0.812134987,SSLStrategy,
IOVA_data.pkl,9/03/2011,10/07/2024,4872 days,55.06072874,2636.390104,12455.37051,-73.63609896,-92.9909908,-74.33807563,8551.382181,0,0,0,-86.4372,-57.38874074,3285 days,1534 days 00:00:00,25,32,258.3211431,-56.27980922,-5.294729698,609 days,104 days 00:00:00,1.394317009,5.938391567,-0.665032766,SSLStrategy,
GRAB_data.pkl,11/02/2021,17/07/2024,1252 days,42.59259259,2669.834171,10000,-73.30165829,-75.05360924,-99.78933454,0.430135639,0,0,0,-73.30165829,-73.30165829,1000 days,1000 days 00:00:00,5,0,-3.322438825,-62.68550591,-23.23065042,156 days,78 days 00:00:00,0,-18.91096932,-1.219989338,SSLStrategy,
KDP_data.pkl,17/07/2008,28/06/2024,5825 days,66.7896679,2700.145724,18090.04224,-72.99854276,63.72550074,-70.40263523,35.64187907,0,0,0,-85.1568294,-11.23146331,2191 days,339 days 00:00:00,23,30.43478261,48.3131407,-76.04462357,-5.56563638,579 days,135 days 00:00:00,0.594487653,-2.318393997,-0.588974594,SSLStrategy,
CVE_data.pkl,8/02/2010,23/07/2024,5279 days,48.71794872,2723.414016,10000,-72.76585984,-16.33004327,-75.35885562,30.50650948,0,0,0,-81.52641243,-81.52641243,4695 days,4695 days 00:00:00,18,27.77777778,61.0823639,-51.67990422,-6.99371806,463 days,111 days 00:00:00,0.521399,-4.614947986,-2.107339891,SSLStrategy,
WOLF_data.pkl,23/04/1993,2/05/2024,11332 days,60.30828516,2776.854857,56160.85938,-72.23145143,836.5465626,-46.31935455,300.7267593,0,0,0,-95.05553354,-35.94775824,8814 days,2208 days 00:00:00,53,28.30188679,696.9912103,-45.53376906,-2.407920097,683 days,107 days 00:00:00,1.95761339,11.05297421,-0.163864571,SSLStrategy,
DOC_data.pkl,7/08/1985,25/06/2024,14202 days,67.58409786,2818.211946,10000,-71.81788054,280.9377895,-38.61486124,43.78210425,0,0,0,-77.08326168,-77.08326168,13668 days,13668 days 00:00:00,49,34.69387755,191.2066549,-34.2954591,1.899003235,623 days,164 days 00:00:00,2.128442933,5.947824651,1.160108648,SSLStrategy,
BBD_data.pkl,14/11/2002,22/05/2024,7860 days,61.49584488,2836.174901,46396.83164,-71.63825099,187.4958568,-58.50705225,64.22091735,0,0,0,-93.88713668,-18.56185075,5271 days,654 days 00:00:00,28,25,214.7455862,-40.23460687,-4.403046047,637 days,143 days 00:00:00,1.060128735,0.591198823,-0.269744863,SSLStrategy,
SNOW_data.pkl,24/12/2020,24/07/2024,1308 days,46.15384615,2867.136571,11155.72337,-71.32863429,-61.11317502,-99.76519282,0.559944953,0,0,0,-74.29896317,-38.48381229,975 days,535 days 00:00:00,4,0,-1.509511002,-60.20755691,-27.21744311,255 days,139 days 00:00:00,0,-22.92442356,-1.275270987,SSLStrategy,
ITUB_data.pkl,11/07/2002,3/07/2024,8028 days,64.72148541,2893.61725,47262.88524,-71.0638275,555.9463374,-56.34757605,66.67600859,0,0,0,-93.87761192,-15.0823157,5315 days,508 days 00:00:00,29,27.5862069,117.4688204,-41.53389994,-4.188749837,618 days,146 days 00:00:00,0.910317917,-0.894922474,-0.234564401,SSLStrategy,
KSS_data.pkl,24/08/1992,19/07/2024,11652 days,63.94052045,3058.158944,60280.035,-69.41841056,696.4023929,-42.5898444,82.48698003,0,0,0,-94.92674657,-14.00649419,8757 days,815 days 00:00:00,42,28.57142857,557.378741,-53.74904712,-2.79936691,1483 days,142 days 00:00:00,1.852796021,7.856208007,-0.128637421,SSLStrategy,
XPEV_data.pkl,23/12/2020,24/07/2024,1309 days,34,3103.202477,10000,-68.96797523,-81.62100381,-99.72538581,0.476400036,0,0,0,-69.06817434,-69.06817434,988 days,988 days 00:00:00,3,0,-5.859123167,-50.68717916,-32.39604573,163 days,88 days 00:00:00,0,-29.99722721,-2.405855702,SSLStrategy,
IAG_data.pkl,26/09/2003,1/07/2024,7584 days,61.71428571,3148.612426,21069.47827,-68.51387574,-38.48739154,-56.48431467,118.5955058,0,0,0,-90.47297729,-31.15410064,5323 days,1428 days 00:00:00,34,38.23529412,155.1851096,-38.50496518,-3.345239891,407 days,109 days 00:00:00,1.081107684,0.798862647,-0.49728572,SSLStrategy,
BEKE_data.pkl,3/11/2020,15/07/2024,1350 days,40.90909091,3225.113621,10430.38922,-67.74886379,-77.92577063,-98.67096772,1.251212339,0,0,0,-69.07964264,-37.34252577,887 days,448 days 00:00:00,5,0,-3.609569466,-35.74356705,-19.48365737,103 days,84 days 00:00:00,0,-18.73155857,-2.18091009,SSLStrategy,
KEY_data.pkl,4/02/1988,10/06/2024,13276 days,69.31137725,3248.331927,26939.85073,-67.51668073,131.1908899,-34.5701267,77.12118913,0,0,0,-88.91128936,-16.94358309,9544 days,983 days 00:00:00,57,36.84210526,70.91792469,-58.78351264,-1.958518622,755 days,139 days 00:00:00,1.06115735,0.401806762,-0.440832961,SSLStrategy,
JPM_data.pkl,19/06/1980,11/06/2024,16063 days,69.48228883,3292.228876,24874.62982,-67.07771124,3242.496694,-31.71227844,64.7876691,0,0,0,-92.49154367,-23.91115561,9734 days,1371 days 00:00:00,57,33.33333333,2376.449445,-30.49543387,9.604999704,779 days,160 days 00:00:00,11.81608997,76.11376564,1.383291054,SSLStrategy,
HBAN_data.pkl,12/08/1980,4/06/2024,16002 days,69.1576087,3372.911888,57591.27338,-66.27088112,466.4189076,-31.07242254,80.05736286,0,0,0,-94.58179747,-13.73389145,9105 days,813 days 00:00:00,54,53.7037037,377.0728574,-83.21725255,22.06319392,1132 days,180 days 00:00:00,9.006000964,45.37137572,2.927041081,SSLStrategy,
SOFI_data.pkl,24/03/2021,13/06/2024,1177 days,41.81818182,3403.776611,10000,-65.96223389,-58.73786177,-99.28298106,0.91355246,0,0,0,-66.24063363,-66.24063363,946 days,946 days 00:00:00,5,0,-1.463754535,-33.38539091,-19.41473951,110 days,60 days 00:00:00,0,-18.51144191,-2.235118476,SSLStrategy,
IQ_data.pkl,23/07/2018,23/05/2024,2131 days,41.57303371,3431.750552,10000,-65.68249448,-85.29593039,-95.16015999,12.72740586,0,0,0,-68.69249361,-68.69249361,1897 days,1897 days 00:00:00,8,12.5,15.78090249,-52.80548244,-12.54903787,242 days,80 days 00:00:00,0.162830198,-10.14192637,-1.213337264,SSLStrategy,
HL_data.pkl,9/07/1980,24/06/2024,16056 days,52.23529412,3524.293419,17834.245,-64.75706581,-78.27956907,-26.5959222,223.3463511,0,0,0,-96.24480463,-36.84414783,15111 days,5234 days 00:00:00,72,27.77777778,254.3417387,-78.70545987,-11.58637708,430 days,98 days 00:00:00,0.757194549,-3.242614379,-2.408789641,SSLStrategy,
T_data.pkl,23/02/1984,24/07/2024,14762 days,66.32200886,3531.159439,22507.52619,-64.68840561,408.4160482,-32.12324478,44.0626114,0,0,0,-86.3937097,-15.12223927,8650 days,822 days 00:00:00,53,32.0754717,67.13963408,-33.5299404,-1.951782252,678 days,153 days 00:00:00,0.868481689,-0.731592419,-0.521177346,SSLStrategy,
TME_data.pkl,8/03/2019,18/07/2024,1959 days,50,3652.818489,15495.9137,-63.47181511,-15.65421219,-94.77124135,30.63616841,0,0,0,-86.29388109,-49.65227112,1260 days,749 days 00:00:00,7,28.57142857,66.52001333,-57.40365166,-13.41566935,421 days,117 days 00:00:00,0.585300962,-7.003237728,-1.051340716,SSLStrategy,
NOK_data.pkl,20/09/1994,18/07/2024,10894 days,60.55226824,3692.823898,127752.5913,-63.07176102,111.0979139,-39.05202187,127.3312191,0,0,0,-97.15589021,-15.97104081,8792 days,896 days 00:00:00,40,25,390.1960784,-57.36779669,-2.462143857,824 days,139 days 00:00:00,1.624407678,6.402396661,-0.069991211,SSLStrategy,
ON_data.pkl,13/07/2000,22/07/2024,8775 days,64,3751.269038,20238.74704,-62.48730962,277.2195211,-50.63623081,203.5171405,0,0,0,-91.74832324,-39.54811646,6129 days,1687 days 00:00:00,26,38.46153846,134.9635936,-68.03921578,-3.686042728,454 days,174 days 00:00:00,1.316503586,3.997768482,-0.360753156,SSLStrategy,
U_data.pkl,14/12/2020,11/07/2024,1305 days,24.13793103,3834.157592,10000,-61.65842408,-88.7404578,-98.44719202,1.286622061,0,0,0,-61.65842408,-61.65842408,506 days,506 days 00:00:00,3,0,-18.18390867,-33.74288108,-27.40034959,100 days,69 days 00:00:00,0,-27.11285211,-11.64506051,SSLStrategy,
FTV_data.pkl,20/09/2016,24/07/2024,2864 days,58.95522388,3888.819698,10764.65507,-61.11180302,67.41890974,-83.07172934,12.20289265,0,0,0,-65.45623013,-34.49626467,2128 days,1077 days 00:00:00,12,25,12.11907799,-26.68120484,-7.620499827,228 days,118 days 00:00:00,0.235355071,-6.985140482,-2.370957662,SSLStrategy,
AMCR_data.pkl,19/03/2013,25/06/2024,4116 days,57.14285714,3996.141561,10000,-60.03858439,7.978147829,-82.41208859,8.312127547,0,0,0,-62.86188192,-62.86188192,2539 days,2539 days 00:00:00,15,20,5.207667484,-18.94395432,-5.935204537,273 days,88 days 00:00:00,0.111445627,-5.716944637,-3.356541011,SSLStrategy,
RIG_data.pkl,18/08/1993,11/07/2024,11285 days,60.07905138,4057.806369,43624.1228,-59.42193631,-63.30199598,-36.18543876,129.2989951,0,0,0,-94.56112913,-15.40819396,8697 days,834 days 00:00:00,35,34.28571429,187.667691,-49.19135321,-2.554726777,994 days,162 days 00:00:00,1.327029039,3.552903074,-0.161139658,SSLStrategy,
RIVN_data.pkl,14/02/2022,24/07/2024,891 days,39.02439024,4059.093314,10266.21949,-59.40906686,-74.03032712,-99.60801347,0.992793033,0,0,0,-60.46165465,-36.24372873,630 days,330 days 00:00:00,5,20,2.665436034,-44.58292045,-15.60652989,57 days,29 days 00:00:00,0.037295697,-13.76044411,-1.516635948,SSLStrategy,
QS_data.pkl,31/12/2020,12/06/2024,1259 days,20.68965517,4257.602509,10000,-57.42397491,-93.40438085,-97.55214125,3.408695345,0,0,0,-57.42397491,-57.42397491,958 days,958 days 00:00:00,4,0,-6.55249294,-35.86219417,-19.23412517,76 days,37 days 00:00:00,0,-18.36606677,-2.631459609,SSLStrategy,
AROC_data.pkl,30/10/2007,13/06/2024,6071 days,57.29537367,4261.92419,10000,-57.3807581,-77.42826386,-53.45945501,58.02013398,0,0,0,-82.75618512,-82.75618512,5855 days,5855 days 00:00:00,19,26.31578947,125.2137265,-46.8118488,-4.42983015,719 days,154 days 00:00:00,1.171608268,2.142326017,-0.825020483,SSLStrategy,
WBD_data.pkl,21/09/2005,9/07/2024,6866 days,56.84931507,4339.961439,63584.28806,-56.60038561,-2.877754627,-51.34299866,62.95600487,0,0,0,-93.19466855,-14.98607679,3893 days,471 days 00:00:00,26,26.92307692,180.9492909,-60.91455482,-3.177211137,821 days,131 days 00:00:00,1.307202759,2.982679886,-0.135080069,SSLStrategy,
CCL_data.pkl,6/10/1987,14/06/2024,13401 days,67.81609195,4347.334746,30011.48375,-56.52665254,292.7040039,-29.15663095,108.6409372,0,0,0,-87.63487623,-21.19877041,9459 days,1603 days 00:00:00,47,31.91489362,93.74416433,-48.50187266,-1.761099529,717 days,152 days 00:00:00,1.114657604,0.921376416,-0.313545785,SSLStrategy,
AGNC_data.pkl,29/07/2008,24/07/2024,5839 days,56.74603175,4464.024746,12494.27292,-55.35975254,-36.72820142,-55.35975254,32.94842289,0,0,0,-70.53816275,-21.46364769,4326 days,1102 days 00:00:00,20,30,17.2161205,-42.30550033,-3.961435769,379 days,139 days 00:00:00,0.410018009,-3.160359134,-1.30809695,SSLStrategy,
KHC_data.pkl,7/01/2016,5/06/2024,3072 days,43.75,4464.798534,10000,-55.35201466,-51.78025392,-79.55686835,13.70471026,0,0,0,-55.75521427,-55.75521427,2766 days,2766 days 00:00:00,11,18.18181818,15.18941658,-22.90310731,-7.107912809,236 days,99 days 00:00:00,0.300420625,-6.393682015,-1.841449468,SSLStrategy,
LCID_data.pkl,23/02/2021,25/06/2024,1218 days,12.72727273,4485.910885,10107.78588,-55.14089115,-92.89974421,-97.45994605,3.520424274,0,0,0,-55.61925296,-30.52174549,889 days,468 days 00:00:00,1,0,-55.31133924,-55.31133924,-55.31133924,140 days,140 days 00:00:00,0,-55.31133924,,SSLStrategy,
CLSK_data.pkl,23/03/2017,24/07/2024,2680 days,51.1627907,4564.941746,46437.71225,-54.35058254,-44.76666768,-89.95231407,3.4685E+11,0,0,0,-98.36145563,-98.36145563,2135 days,2135 days 00:00:00,5,60,288.6397642,-87.19540688,-14.74361713,418 days,192 days 00:00:00,2.627806079,44.50908938,-0.462684585,SSLStrategy,
CTRA_data.pkl,26/06/1990,5/07/2024,12428 days,69.81818182,4763.385497,18775.97538,-52.36614503,1822.198888,-28.8087131,96.25106115,0,0,0,-84.37939408,-25.95511514,7209 days,1692 days 00:00:00,42,30.95238095,79.32748679,-43.52087972,-1.753503847,872 days,173 days 00:00:00,1.131605823,1.081768125,-0.382800304,SSLStrategy,
FCX_data.pkl,20/10/1995,17/07/2024,10498 days,59.86078886,4766.175606,27079.95063,-52.33824394,291.9191919,-35.16190023,115.4673675,0,0,0,-84.99497557,-28.2997113,4941 days,1001 days 00:00:00,36,27.77777778,114.4867545,-32.77975816,-2.044487106,486 days,131 days 00:00:00,1.204576242,1.944746238,-0.286132435,SSLStrategy,
VLY_data.pkl,19/06/1990,2/05/2024,12371 days,67.46347942,4817.547036,35611.43915,-51.82452964,148.2818844,-21.68334908,59.01329408,0,0,0,-86.47191141,-11.49817994,9502 days,671 days 00:00:00,76,25,71.79467208,-23.26959179,-0.957657205,535 days,88 days 00:00:00,0.995613031,-0.020287292,-0.253146397,SSLStrategy,
GM_data.pkl,28/01/2011,23/07/2024,4925 days,61.33333333,5141.29359,14691.19528,-48.5870641,26.72131968,-52.53198256,45.51291682,0,0,0,-75.36801066,-17.74218331,3850 days,746 days 00:00:00,16,37.5,49.27782281,-35.53675619,-4.081118419,496 days,151 days 00:00:00,0.81073197,-1.827340125,-0.667611947,SSLStrategy,
MO_data.pkl,11/05/1962,12/06/2024,22678 days,74.75832438,5407.883491,41939.59297,-45.92116509,32071.86177,-15.32860404,88.40032311,0,0,0,-87.10554131,-24.15168136,7398 days,1383 days 00:00:00,78,42.30769231,34904.19318,-72.32602821,74.41847079,1065 days,186 days 00:00:00,444.314035,2661.963785,2.896080401,SSLStrategy,
IBM_data.pkl,11/04/1962,5/06/2024,22701 days,67.64112903,5664.442447,21846.64098,-43.35557553,2444.759951,-13.44464177,64.05302269,0,0,0,-78.49169518,-16.54405619,10323 days,1571 days 00:00:00,77,29.87012987,87.63037038,-26.12694291,-0.744556681,741 days,164 days 00:00:00,1.110418282,0.610960713,-0.268079829,SSLStrategy,
KIM_data.pkl,18/02/1992,10/06/2024,11801 days,70.40441176,5688.801775,13515.69031,-43.11198225,247.6250379,-22.99534335,58.2852653,0,0,0,-71.23763215,-17.14634012,6313 days,1375 days 00:00:00,38,42.10526316,50.99372871,-57.94128001,-1.477181264,624 days,189 days 00:00:00,0.977495108,-0.110948494,-0.528152628,SSLStrategy,
SLB_data.pkl,1/04/1982,22/05/2024,15392 days,65.35211268,6081.339956,29857.81086,-39.18660044,320.158188,-16.18245113,94.83418679,0,0,0,-79.82167769,-20.36258786,5166 days,1067 days 00:00:00,53,41.50943396,129.5362589,-61.94611578,-0.935750789,1028 days,154 days 00:00:00,1.221670555,1.273029295,-0.220722571,SSLStrategy,
LTMAY_data.pkl,13/02/1998,18/07/2024,9652 days,23.18059299,6129.865063,12436.93691,-38.70134937,-82.18729035,-28.2821872,151.6022867,0,0,0,-57.69909464,-40.75910962,7987 days,3063 days 00:00:00,13,23.07692308,126.9756387,-31.59509921,-3.923935665,377 days,136 days 00:00:00,1.117780056,1.309577983,-0.559284182,SSLStrategy,
AQN_data.pkl,9/04/2010,18/07/2024,5214 days,61.56862745,6238.273705,15766.33033,-37.61726295,35.55045106,-37.26997909,33.32969695,0,0,0,-60.7337869,-10.60606965,1604 days,323 days 00:00:00,16,37.5,27.02880391,-31.57679772,-2.525693209,583 days,174 days 00:00:00,0.722152605,-1.63689425,-0.590122887,SSLStrategy,
DAL_data.pkl,26/07/2007,22/07/2024,6206 days,66.66666667,6280.63473,28083.32185,-37.1936527,126.3946304,-34.00781291,174.8328061,0,0,0,-77.63571288,-23.00355119,3506 days,716 days 00:00:00,26,26.92307692,228.6269135,-58.92798949,-1.792031357,664 days,136 days 00:00:00,1.524500809,5.518986936,-0.150684312,SSLStrategy,
CFG_data.pkl,16/12/2014,3/06/2024,3457 days,60.13071895,6282.144316,12655.7369,-37.17855684,43.17526277,-53.49797664,85.48232653,0,0,0,-58.54596038,-20.15414511,2316 days,617 days 00:00:00,10,30,68.95953112,-41.84160652,-4.559727406,361 days,195 days 00:00:00,1.02189797,0.267627034,-0.438028939,SSLStrategy,
YMM_data.pkl,28/09/2021,24/07/2024,1030 days,46.77419355,6282.539898,10000,-37.17460102,-47.71371911,-84.88119417,10.77550497,0,0,0,-40.92340117,-40.92340117,726 days,726 days 00:00:00,5,20,3.715171088,-22.4081113,-8.880183366,155 days,84 days 00:00:00,0.080590888,-8.476794944,-1.964200068,SSLStrategy,
C_data.pkl,25/03/1977,22/07/2024,17286 days,69.37738247,6484.749978,31118.99384,-35.15250022,294.7217257,-12.95023705,90.06494543,0,0,0,-83.81212281,-20.32130784,9485 days,1290 days 00:00:00,56,33.92857143,147.999902,-38.10236205,-0.778987325,750 days,182 days 00:00:00,1.251917149,1.812340466,-0.212237685,SSLStrategy,
