instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline,SSL_BUY,SSL_SELL
EUR_USD,2024-06-17 07:00:00+10:00,D,1.07068,1.07123,1.06864,1.07099,1.082935,1.0764870000000002,1.082935,1.0764870000000002,sell,False,0.0060385540057735,1.0770285540057736,1.0649514459942266,1.0800478310086603,1.0649514459942266,1.0769775,,
USD_JPY,2024-06-17 07:00:00+10:00,D,157.365,157.69,157.158,157.666,157.1725,155.95839999999998,155.95839999999998,157.1725,buy,False,1.1166364422668644,158.78263644226686,156.54936355773313,155.9910453365997,158.78263644226686,156.921875,,
GBP_USD,2024-06-17 07:00:00+10:00,D,1.26884,1.26886,1.26612,1.26742,1.278538,1.271598,1.278538,1.271598,sell,False,0.0069554557914909,1.2743754557914908,1.2604645442085092,1.2778531836872364,1.2604645442085092,1.27378625,,
AUD_USD,2024-06-17 07:00:00+10:00,D,0.66078,0.66182,0.6591,0.66064,0.665924,0.6603990000000001,0.6603990000000001,0.665924,buy,False,0.0053360077585198,0.6659760077585198,0.6553039922414802,0.6526359883622201,0.6659760077585198,0.66230375,,
USD_CAD,2024-06-17 07:00:00+10:00,D,1.3735,1.37524,1.37294,1.37428,1.375486,1.369672,1.369672,1.375486,buy,False,0.0060020414055361,1.380282041405536,1.3682779585944638,1.3652769378916958,1.380282041405536,1.37363875,,
USD_CHF,2024-06-17 07:00:00+10:00,D,0.89038,0.892,0.88946,0.89188,0.8962660000000001,0.8908289999999999,0.8908289999999999,0.8962660000000001,buy,True,0.0052681797150773,0.8971481797150773,0.8866118202849227,0.883977730427384,0.8971481797150773,0.8937900000000001,,
EUR_USD,2024-06-28 07:00:00+10:00,D,1.07056,1.07248,1.06855,1.07131,1.0738230000000002,1.06897,1.06897,1.0738230000000002,buy,False,0.0055471183326567,1.0768571183326567,1.0657628816673432,1.0629893225010147,1.0768571183326567,1.07105,False,False
EUR_USD,2024-07-04 07:00:00+10:00,D,1.07856,1.07951,1.07838,1.07885,1.075165,1.070235,1.070235,1.075165,buy,False,0.0053303403972044,1.0841803403972046,1.0735196596027956,1.0708544894041934,1.0841803403972046,1.07341125,False,False
USD_JPY,2024-07-04 07:00:00+10:00,D,161.624,161.676,161.138,161.414,160.9619,160.0666,160.0666,160.9619,buy,False,0.9641317800715056,162.3781317800715,160.44986821992848,159.96780232989272,162.3781317800715,161.02687500000002,False,False
GBP_USD,2024-07-04 07:00:00+10:00,D,1.27488,1.27539,1.2739,1.27485,1.270371,1.264397,1.264397,1.270371,buy,False,0.0063649772039272,1.2812149772039272,1.268485022796073,1.265302534194109,1.2812149772039272,1.26775,False,False
