,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,_strategy,,
123,22/03/1981,28/07/2024,15834 days,60.14140521431728,12.929265873429113,10000,-99.87070734,43.03030919547033,-65.79222578,50.489731728050224,0,0,0,-99.90818335,-99.90818335,15631 days,15631 days,201,41.79104478,320.67737998667735,-31.54919328,7.6014920468658875,217 days,41 days,3.6147354458976673,15.303733821422238,3.364617977760762,SSLStrategy,,
112,7/01/1962,28/07/2024,22848 days,59.50995405819296,34.99461564063613,10602.220004339219,-99.65005384,455.8433246072549,-46.8577856,27.876234229268306,0,0,0,-99.80256191,-21.29770491,22225 days,3772 days,252,36.11111111111111,658.7502953308665,-19.3827638,26.474895268340106,259 days,47 days,18.41578096179374,73.38787769242899,6.095049998,SSLStrategy,,
58,7/01/1962,28/07/2024,22848 days,59.50995405819296,82.55139395236337,10402.176189103126,-99.17448606,4780.892522182029,-41.50657968,26.966583750452855,0,0,0,-99.20640266,-25.33403263,22386 days,4542 days,248,43.145161290322584,4543.807158420066,-30.67586818,69.40559128,245 days,48 days,172.57767583295367,558.0976489543643,6.2076174527682735,SSLStrategy,,
100,22/05/1994,28/07/2024,11025 days,61.611675126903556,90.20524428605513,10068.406249999998,-99.09794756,78.79999160766602,-66.39268955,50.439381634435584,0,0,0,-99.33036235,-59.48189992,10528 days,5404 days,152,30.263157894736842,251.5547552108212,-30.45343299,-3.218462822,196 days,38 days,0.808803183,-1.279108421,-1.918970547,SSLStrategy,,
37,4/01/1981,28/07/2024,15911 days,67.06244503078275,98.59158859251883,10000,-99.01408411,-93.74774761,-52.35788783,55.45744534869911,0,0,0,-99.01408411,-99.01408411,15750 days,15750 days,226,22.123893805309734,132.55813953488374,-95.6800497,-36.54073007,301 days,41 days,0.1948516312334249,-14.93384988,-6.252474509,SSLStrategy,,
110,17/10/2010,28/07/2024,5033 days,60.27777777777777,119.28639776229592,12769.939999999999,-98.80713602,-91.6999999,-89.40896375,51.24594763042637,0,0,0,-99.45684476,-32.91633453,4648 days,1217 days,59,30.508474576271187,113.21815416601359,-68.13725357,-7.527347144,217 days,45 days,0.7688154678931431,-2.880652332,-1.676395149,SSLStrategy,,
157,23/03/1980,28/07/2024,16198 days,65.96112311015119,120.83194898604161,15754.526717433928,-98.79168051,347.1874938253315,-50.15488373,42.496943368342606,0,0,0,-99.37947773,-32.7865327,13461 days,2651 days,204,35.294117647058826,467.9924364694492,-22.39133416,5.062387185612227,210 days,46 days,3.9314964978412577,14.037089563550825,3.2316531104807042,SSLStrategy,,
43,25/02/1973,28/07/2024,18781 days,66.20715350223547,124.90472843407449,13031.909307346343,-98.75095272,646.999979,-44.89998111,66.40918351389053,0,0,0,-99.08920228,-21.13056982,18536 days,3723 days,221,55.65610859728507,1149.8823178359885,-38.16982669,54.42578671294318,343 days,50 days,25.355197030032546,116.1351249144124,7.373337614490225,SSLStrategy,,
28,14/09/1986,28/07/2024,13832 days,69.44865958523015,154.12531116483882,14390.138567609778,-98.45874689,138.9552986941477,-53.71507613,40.433034809280535,0,0,0,-99.1239743,-23.20032853,9226 days,1711 days,177,35.02824858757062,152.8851599445931,-75.66716363,-2.366827697,308 days,48 days,0.8130480597607279,-0.963896947,-1.181428391,SSLStrategy,,
105,20/07/2003,28/07/2024,7679 days,64.29872495446266,155.16332667111303,10449.269950819013,-98.44836673,-15.78947368,-74.9632803,33.98682808055659,0,0,0,-99.01272415,-60.87790675,7231 days,3738 days,105,27.61904761904762,131.3021109821438,-27.83915464,-3.906742506,210 days,41 days,0.6839495224610816,-2.357845649,-2.208077514,SSLStrategy,,
233,27/11/1983,28/07/2024,14854 days,70.04239284,197.07311048504587,18290.14058507919,-98.0292689,412.3596944934123,-49.09022001,23.27277424,0,0,0,-98.92251725,-10.53530506,12271 days,732 days,194,21.649484536082475,38.04138595737161,-12.56354421,-2.086416044,385 days,47 days,0.47636370328255706,-1.867023529,-1.13676319,SSLStrategy,,
0,2/10/2005,28/07/2024,6874 days,62.97049847,204.5280920600763,17164.243117656704,-97.95471908,-51.59447898,-76.40816168,40.07816439,0,0,0,-98.80840599,-26.04161855,3472 days,672 days,86,23.25581395348837,83.75882041842382,-50.93138776,-4.486539856,210 days,44 days,0.6912038867648278,-2.647555097,-0.858573845,SSLStrategy,,
40,23/03/1980,28/07/2024,16198 days,60.69114470842333,232.05015007017906,11927.169999999998,-97.6794985,-95.91025634,-44.75339917,83.40057387059355,0,0,0,-99.19601922,-30.2834153,15036 days,2687 days,184,25,408.46863675850403,-97.47276684,-52.43630309,301 days,47 days,0.2599976786485289,-19.99776225,-6.948139004,SSLStrategy,,
2,7/01/1962,28/07/2024,22848 days,66.67687595712098,250.86605338095862,11460.705420169832,-97.49133947,395.0792679,-33.767547,52.29935679509059,0,0,0,-99.26275231,-30.55456723,21273 days,3772 days,266,36.46616541353384,78.14995747627178,-33.03226557,-1.475586289,343 days,51 days,0.8376902270615741,-0.756715083,-2.454729206,SSLStrategy,,
10,21/07/1991,28/07/2024,12061 days,68.21345707656613,256.7868891143725,29774.914374999997,-97.43213111,393.2093065838481,-53.94469806,77.55353863133261,0,0,0,-99.15791903,-50.33152941,8911 days,2974 days,141,33.33333333333333,185.20499108734398,-35.94250449,-2.613728233,252 days,52 days,0.9467184399304545,-0.395838949,-0.713084682,SSLStrategy,,
104,23/03/1980,28/07/2024,16198 days,71.10151187904967,276.27384904859707,15127.034439029687,-97.23726151,405.0323997212228,-43.21284436,48.08883208141885,0,0,0,-98.30007095,-28.3040767,13916 days,2268 days,195,37.94871794871795,204.09544176352577,-73.13348242,2.2934066408311082,259 days,53 days,2.387617931214177,6.231439765092955,2.5460406147488372,SSLStrategy,,
122,8/11/1987,28/07/2024,13412 days,72.92644757,288.8553312587611,14748.08384965896,-97.11144669,157.99254958954495,-49.07735233,44.14046903277277,0,0,0,-98.45063873,-16.55180832,11452 days,1021 days,168,32.142857142857146,55.91370603366856,-41.17647247,-2.119378785,273 days,52 days,0.7063998604654581,-1.391729992,-1.285398273,SSLStrategy,,
208,23/03/1980,28/07/2024,16198 days,67.81857451403887,289.4859792959501,13791.923434753418,-97.10514021,828.0000166459517,-42.79304475,62.54244164164929,0,0,0,-98.14678194,-22.13585622,15995 days,3213 days,212,44.81132075471698,1459.6625413316008,-25.79289847,43.96798049,315 days,45 days,31.070506842723397,136.31158192217526,6.512754474156846,SSLStrategy,,
230,25/03/1990,28/07/2024,12544 days,70.77523703290575,301.3648350763192,23970.19932982922,-96.98635165,139.48411312327204,-50.97814599,31.073265149466817,0,0,0,-98.75973143,-12.78813451,11445 days,825 days,175,22.857142857142858,80.24033192690648,-25.55433269,-1.994174868,280 days,44 days,0.6121984797695653,-1.516422875,-0.843977437,SSLStrategy,,
99,23/03/1980,28/07/2024,16198 days,62.419006479481645,352.80029080151064,13636.996171569825,-96.47199709,-73.47368522,-40.98088635,95.94698497026548,0,0,0,-98.89676089,-24.98243008,15995 days,3223 days,206,30.097087378640776,266.8564191765842,-79.83193148,-10.68407247,238 days,43 days,0.573132748,-4.976220576,-4.388001662,SSLStrategy,,
