instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline
EUR_USD,2024-06-17 07:00:00+10:00,D,1.07068,1.07123,1.06864,1.07099,1.082935,1.0764870000000002,1.082935,1.0764870000000002,sell,False,0.006038554005773514,1.0770285540057736,1.0649514459942266,1.0800478310086603,1.0649514459942266,1.0769775
USD_JPY,2024-06-17 07:00:00+10:00,D,157.365,157.69,157.158,157.666,157.1725,155.95839999999998,155.95839999999998,157.1725,buy,False,1.1166364422668644,158.78263644226686,156.54936355773313,155.9910453365997,158.78263644226686,156.921875
GBP_USD,2024-06-17 07:00:00+10:00,D,1.26884,1.26886,1.26612,1.26742,1.278538,1.271598,1.278538,1.271598,sell,False,0.006955455791490918,1.2743754557914908,1.2604645442085092,1.2778531836872364,1.2604645442085092,1.27378625
AUD_USD,2024-06-17 07:00:00+10:00,D,0.66078,0.66182,0.6591,0.66064,0.665924,0.6603990000000001,0.6603990000000001,0.665924,buy,False,0.005336007758519874,0.6659760077585198,0.6553039922414802,0.6526359883622201,0.6659760077585198,0.66230375
USD_CAD,2024-06-17 07:00:00+10:00,D,1.3735,1.37524,1.37294,1.37428,1.375486,1.369672,1.369672,1.375486,buy,False,0.006002041405536151,1.3802820414055361,1.3682779585944638,1.3652769378916958,1.3802820414055361,1.37363875
USD_CHF,2024-06-17 07:00:00+10:00,D,0.89038,0.892,0.88946,0.89188,0.8962660000000001,0.8908289999999999,0.8908289999999999,0.8962660000000001,buy,True,0.005268179715077345,0.8971481797150773,0.8866118202849227,0.883977730427384,0.8971481797150773,0.8937900000000001
