Time,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,baseline,instrument,granularity,ATR,atrup,atrdown,SL,TP
2024-05-24 09:56:00+10:00,1.08142,1.08142,1.08137,1.08138,1.081451,1.08141,1.081451,1.08141,sell,False,1.08142375,,,,,,,
2024-05-24 09:57:00+10:00,1.08133,1.08133,1.08132,1.08133,1.081434,1.081396,1.081434,1.081396,sell,False,1.0814,,,,,,,
2024-05-24 09:57:00+10:00,1.08133,1.08133,1.08126,1.08127,1.081434,1.08139,1.081434,1.08139,sell,False,1.0813925,,,,,,,
2024-05-24 09:58:00+10:00,1.08124,1.08125,1.08123,1.08123,1.081411,1.081364,1.081411,1.081364,sell,False,1.08136,,,,,,,
2024-05-25 06:59:00+10:00,1.08467,1.08468,1.08467,1.08468,1.084722,1.084662,1.084662,1.084722,buy,True,1.084675,,,,,,,
2024-05-25 06:59:00+10:00,1.08467,1.08468,1.08467,1.08468,1.084722,1.084662,1.084662,1.084722,buy,True,1.084675,,,,,,,
2024-05-25 06:59:00+10:00,1.08467,1.08468,1.08467,1.08468,1.084722,1.084662,1.084662,1.084722,buy,True,1.084675,,,,,,,
2024-05-27 15:08:00+10:00,4.78774,4.78792,4.78774,4.78792,4.788304999999999,4.788015,4.788304999999999,4.788015,sell,False,4.7881025,,,,,,,
2024-05-27 15:08:00+10:00,0.98787,0.98788,0.98786,0.98786,0.987833,0.987788,0.987788,0.987833,buy,False,0.987825,,,,,,,
2024-05-27 15:08:00+10:00,1.08236,1.0824,1.08236,1.0824,1.0824729999999998,1.082428,1.0824729999999998,1.082428,sell,False,1.08244625,,,,,,,
2024-05-27 15:08:00+10:00,0.66915,0.66916,0.66914,0.66916,0.6691990000000001,0.669164,0.6691990000000001,0.669164,sell,False,0.669185,,,,,,,
2024-05-27 15:08:00+10:00,1.27414,1.27422,1.27414,1.27422,1.2742239999999998,1.2741710000000002,1.2741710000000002,1.2742239999999998,buy,True,1.2741875,,,,,,,
2024-05-27 15:08:00+10:00,16.67421,16.67428,16.67413,16.67426,16.674332,16.673973,16.673973,16.674332,buy,False,16.67423625,,,,,,,
2024-05-27 15:08:00+10:00,0.90652,0.90654,0.90652,0.90652,0.906715,0.9066569999999998,0.906715,0.9066569999999998,sell,False,0.906645,,,,,,,
2024-05-27 15:08:00+10:00,7.46011,7.46042,7.45998,7.4604,7.460516,7.460095,7.460095,7.460516,buy,True,7.460266249999999,,,,,,,
2024-05-27 15:08:00+10:00,1.48238,1.48238,1.48236,1.48236,1.48244,1.4823939999999998,1.48244,1.4823939999999998,sell,False,1.48239875,,,,,,,
2024-05-27 15:08:00+10:00,354.058,354.06,354.052,354.058,354.0595,354.0269,354.0269,354.0595,buy,False,354.04375,,,,,,,
2024-05-27 15:08:00+10:00,10.6554,10.6554,10.65488,10.65495,10.655176999999998,10.654699,10.654699,10.655176999999998,buy,False,10.65511625,,,,,,,
2024-05-27 15:08:00+10:00,1.72,1.72005,1.71996,1.72004,1.720031,1.7199270000000002,1.7199270000000002,1.720031,buy,False,1.7199775,,,,,,,
2024-05-27 15:08:00+10:00,104.014,104.02,104.014,104.02,104.03600000000002,104.0274,104.03600000000002,104.0274,sell,False,104.029375,,,,,,,
