,Name,Total Gain/Loss,Number of Positive Trades,Number of Negative Trades,Win Percent
0,ACLBSL,-5861.0,1,3,25.0
1,ACLBSL,-6595.0,1,3,25.0
2,ADBLD83,-3128.800000000001,2,7,22.22222222222222
3,ADBLD83,-3128.800000000001,2,7,22.22222222222222
4,ADBL,1068.0,8,11,42.10526315789473
5,ADBL,1548.0,9,12,42.857142857142854
6,AHL,120.0,1,0,100.0
7,AHL,120.0,1,0,100.0
8,AHPC,-2095.0,8,15,34.78260869565217
9,AHPC,-2095.0,8,15,34.78260869565217
10,AKJCL,690.0,3,4,42.857142857142854
11,AKJCL,690.0,3,4,42.857142857142854
12,AKPL,383.0,7,7,50.0
13,AKPL,383.0,7,7,50.0
14,ALBSL,1111.0,1,5,16.666666666666664
15,ALBSL,1111.0,1,5,16.666666666666664
16,ALICL,-12090.0,10,14,41.66666666666667
17,ALICL,-12090.0,10,14,41.66666666666667
18,ANLB,-9210.0,0,2,0.0
19,ANLB,-9210.0,0,2,0.0
20,API,-3199.0,6,10,37.5
21,API,-3199.0,6,10,37.5
22,AVYAN,188.0,1,0,100.0
23,AVYAN,188.0,1,0,100.0
24,BARUN,1539.0,7,9,43.75
25,BARUN,1539.0,7,9,43.75
26,BBC,15595.0,6,14,30.0
27,BBC,15595.0,6,14,30.0
28,BEDC,-362.0,0,1,0.0
29,BEDC,-362.0,0,1,0.0
30,BFC,-2277.0,8,10,44.44444444444444
31,BFC,-2277.0,8,10,44.44444444444444
32,BGWT,220.0,1,0,100.0
33,BGWT,220.0,1,0,100.0
34,BHDC,1194.0,2,0,100.0
35,BHDC,1194.0,2,0,100.0
36,BHL,974.0,2,3,40.0
37,BHL,974.0,2,3,40.0
38,BHPL,513.0,2,0,100.0
39,BHPL,513.0,2,0,100.0
40,BNHC,-403.0,0,2,0.0
41,BNHC,-403.0,0,2,0.0
42,BNL,9903.0,1,1,50.0
43,BNL,9903.0,1,1,50.0
44,BNT,-50786.0,7,16,30.434782608695656
45,BOKD86KA,0.0,0,0,0.0
46,BOKD86KA,0.0,0,0,0.0
47,BOKD86,-2158.0,1,5,16.666666666666664
48,BOKD86,-2158.0,1,5,16.666666666666664
49,BPCL,4694.0,10,13,43.47826086956522
50,BPCL,4694.0,10,13,43.47826086956522
51,C30MF,-1.7000000000000028,1,1,50.0
52,C30MF,-1.7000000000000028,1,1,50.0
53,CBBL,17097.0,9,13,40.909090909090914
54,CBBL,17097.0,9,13,40.909090909090914
55,CBLD88,-4943.0,2,6,25.0
56,CCBD88,-4879.0,0,4,0.0
57,CCBD88,-4879.0,0,4,0.0
58,CFCL,-2747.0,11,15,42.30769230769231
59,CFCL,-2747.0,11,15,42.30769230769231
60,CGH,1630.0,2,0,100.0
61,CGH,1630.0,2,0,100.0
62,CHCL,3987.0,9,4,69.23076923076923
63,CHCL,3987.0,9,4,69.23076923076923
64,CHDC,-582.0,0,1,0.0
65,CHDC,-582.0,0,1,0.0
66,CHL,-2016.0,4,9,30.76923076923077
67,CHL,-2016.0,4,9,30.76923076923077
68,CITY,0.0,0,0,0.0
69,CITY,0.0,0,0,0.0
70,CIT,-30413.0,5,20,20.0
71,CIT,-30413.0,5,20,20.0
72,CIZBD90,0.0,0,0,0.0
73,CIZBD90,0.0,0,0,0.0
74,CKHL,0.0,0,0,0.0
75,CKHL,0.0,0,0,0.0
76,CLI,1368.0,1,0,100.0
77,CLI,1368.0,1,0,100.0
78,CMF1,20.599999999999966,6,15,28.57142857142857
79,CMF1,20.599999999999966,6,15,28.57142857142857
80,CMF2,1.3000000000000114,3,4,42.857142857142854
81,CMF2,1.3000000000000114,3,4,42.857142857142854
82,CORBL,-4848.0,4,19,17.391304347826086
83,CORBL,-4848.0,4,19,17.391304347826086
84,CYCL,-2589.0,0,3,0.0
85,CYCL,-2589.0,0,3,0.0
86,CZBIL,-3598.0,6,12,33.33333333333333
87,CZBIL,-3238.0,5,12,29.411764705882355
88,DDBL,-37610.0,10,19,34.48275862068966
89,DDBL,-37610.0,10,19,34.48275862068966
90,DHPL,133.0999999999999,3,9,25.0
91,DHPL,133.0999999999999,3,9,25.0
92,DLBS,0.0,0,0,0.0
93,DLBS,0.0,0,0,0.0
94,DOLTI,-81.0,0,1,0.0
95,DOLTI,-81.0,0,1,0.0
96,DORDI,1498.0,2,1,66.66666666666666
97,DORDI,1498.0,2,1,66.66666666666666
98,EBLD85,-458.0,1,2,33.33333333333333
99,EBLD86,-2108.0,3,4,42.857142857142854
100,EBL,-2603.0,8,16,33.33333333333333
101,EBL,-2603.0,8,16,33.33333333333333
102,EDBL,-11479.0,7,17,29.166666666666668
103,EHPL,46.0,1,2,33.33333333333333
104,ENL,804.0,1,2,33.33333333333333
105,ENL,804.0,1,2,33.33333333333333
106,FMDBL,1252.0,9,11,45.0
107,FMDBL,1252.0,9,11,45.0
108,FOWAD,-6675.0,3,6,33.33333333333333
109,FOWAD,-7855.0,2,7,22.22222222222222
110,GBBD85,-2829.0,3,4,42.857142857142854
111,GBBD85,-2829.0,3,4,42.857142857142854
112,GBBLPO,0.0,0,0,0.0
113,GBBL,-182.0,11,22,33.33333333333333
114,GBBL,-182.0,11,22,33.33333333333333
115,GBILD86,-1488.0,0,4,0.0
116,GBIME,1643.0,9,8,52.94117647058824
117,GBLBS,3000.0,6,10,37.5
118,GCIL,-763.0,0,2,0.0
119,GFCL,-1678.0,3,17,15.0
120,GHL,1353.0,2,2,50.0
121,GIBF1,12.300000000000011,4,0,100.0
122,GILB,-2141.0,5,10,33.33333333333333
123,GLBSL,-5445.0,7,5,58.333333333333336
124,GLH,-1068.0,2,4,33.33333333333333
125,GMFIL,1503.0,3,14,17.647058823529413
126,GRDBL,-920.0,3,10,23.076923076923077
127,GUFL,-5067.0,3,13,18.75
128,GVL,1762.0,4,0,100.0
129,H8020,0.0,0,0,0.0
130,HATHY,0.0,0,0,0.0
131,HBL,7990.0,9,9,50.0
132,HDHPC,-563.0,2,4,33.33333333333333
133,HDL,-21490.0,6,13,31.57894736842105
134,HEIP,-643.0,2,5,28.57142857142857
135,HEI,663.0,2,1,66.66666666666666
136,HHL,-322.0,0,1,0.0
137,HIDCLP,-53.0,1,2,33.33333333333333
138,HIDCL,481.0,2,6,25.0
139,HLBSL,-971.0,5,7,41.66666666666667
140,HLI,0.0,0,0,0.0
