instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.48,168.742,168.327,168.438,169.79299999999998,168.3963,168.3963,169.79299999999998,buy,True,1.2483253746712744,169.68632537467127,167.1896746253287,166.56551193799308,169.68632537467127,168.950875
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,168.316,168.43,169.78390000000002,168.3841,168.3841,169.78390000000002,buy,True,1.2541374931057414,169.68413749310574,167.17586250689428,166.5487937603414,169.68413749310574,168.927625
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,168.316,168.438,169.78390000000002,168.3841,168.3841,169.78390000000002,buy,True,1.2541374931057414,169.69213749310572,167.18386250689426,166.55679376034138,169.69213749310572,168.928625
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,168.316,168.453,169.78390000000002,168.3841,168.3841,169.78390000000002,buy,True,1.2541374931057414,169.70713749310573,167.19886250689427,166.5717937603414,169.70713749310573,168.9305
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,168.316,168.479,169.78390000000002,168.3841,168.3841,169.78390000000002,buy,True,1.2541374931057414,169.73313749310574,167.22486250689428,166.5977937603414,169.73313749310574,168.93375
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,168.316,168.424,169.78390000000002,168.3841,168.3841,169.78390000000002,buy,True,1.2541374931057414,169.67813749310574,167.16986250689428,166.5427937603414,169.67813749310574,168.926875
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.734,167.947,168.466,169.78390000000002,168.3472,168.3472,169.78390000000002,buy,True,1.2804946359628844,169.7464946359629,167.1855053640371,166.5452580460557,169.7464946359629,168.93212499999998
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.891,167.947,168.884,169.7996,168.3472,168.3472,169.7996,buy,True,1.2917089216771689,170.17570892167714,167.59229107832283,166.94643661748424,170.17570892167714,168.984375
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.891,167.947,168.746,169.7996,168.3472,168.3472,169.7996,buy,True,1.2917089216771689,170.03770892167717,167.45429107832285,166.80843661748426,170.03770892167717,168.967125
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.891,167.947,168.732,169.7996,168.3472,168.3472,169.7996,buy,True,1.2917089216771689,170.02370892167716,167.44029107832284,166.79443661748425,170.02370892167716,168.965375
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.891,167.947,168.745,169.7996,168.3472,168.3472,169.7996,buy,True,1.2917089216771689,170.03670892167716,167.45329107832285,166.80743661748426,170.03670892167716,168.96699999999998
EUR_JPY,2024-06-17 07:00:00+10:00,D,168.405,168.891,167.947,168.793,169.7996,168.3472,168.3472,169.7996,buy,True,1.2917089216771687,170.08470892167716,167.50129107832285,166.85543661748426,170.08470892167716,168.973
