instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline,SSL_BUY,SSL_SELL
GBP_USD,2024-06-17 07:00:00+10:00,D,1.26884,1.26886,1.26768,1.26832,1.278538,1.271754,1.278538,1.271754,sell,False,0.0068440272200623,1.2751640272200622,1.2614759727799376,1.2785860408300933,1.2614759727799376,1.27389875,,
GBP_USD,2024-07-15 07:00:00+10:00,D,1.29662,1.29814,1.29611,1.29733,1.284844,1.278265,1.278265,1.284844,buy,False,0.0065038886037654,1.3038338886037657,1.2908261113962347,1.287574167094352,1.3038338886037657,1.28603375,False,False
GBP_USD,2024-07-15 07:00:00+10:00,D,1.29662,1.29814,1.29611,1.29731,1.284844,1.278265,1.278265,1.284844,buy,False,0.006503888603765415,1.3038138886037653,1.2908061113962346,1.2875541670943518,1.3038138886037653,1.28603125,False,False
