instrument,Time,granularity,Open,High,Low,Close,smaHigh,smaLow,sslDown,sslUp,Position,SIGNAL,ATR,atrup,atrdown,SL,TP,baseline,SSL_BUY,SSL_SELL
GBP_CHF,2024-06-17 07:00:00+10:00,D,1.13016,1.13016,1.1274,1.12934,1.142807,1.135843,1.142807,1.135843,sell,False,0.006515046605901,1.1358550466059012,1.1228249533940988,1.1391125699088516,1.1228249533940988,1.13836625,,
GBP_CHF,2024-07-15 07:00:00+10:00,D,1.16146,1.16339,1.16141,1.162,1.1545429999999999,1.14913,1.14913,1.1545429999999999,buy,False,0.00590159789288528,1.1679015978928853,1.1560984021071146,1.153147603160672,1.1679015978928853,1.1540825,False,False
