,Total Gain,Positive Gains,Negative Gains,Win %,Total Trades,Total Investment
MPW,-1.2499921321868896,14.0,23.0,37.83783783783784,37.0,538.0899958610535
SWN,3.035517245531082,39.0,70.0,35.77981651376147,109.0,993.5366665422916
GRAB,2.130000591278076,3.0,2.0,60.0,5.0,113.88000106811523
VALE,-27.60333490371704,20.0,24.0,45.45454545454545,44.0,914.6875038146973
GM,58.870004653930664,16.0,19.0,45.714285714285715,35.0,1425.3799934387207
LYFT,-0.3700065612792969,4.0,7.0,36.36363636363637,11.0,297.0800018310547
BMY,-27.17189598083496,35.0,70.0,33.33333333333333,105.0,3913.308907389641
KMI,-42.3599967956543,12.0,18.0,40.0,30.0,954.3600025177002
SNAP,3.690007209777832,4.0,9.0,30.76923076923077,13.0,349.06999492645264
GERN,17.83054256439209,20.0,52.0,27.77777777777778,72.0,584.2210972309113
MSFT,176.34056885540485,41.0,39.0,51.24999999999999,80.0,4640.471995316446
YMM,-1.3000006675720215,3.0,8.0,27.27272727272727,11.0,113.71000099182129
FCX,47.822486877441406,30.0,24.0,55.55555555555556,54.0,1643.1187572479248
NKE,-18.033723205327988,40.0,58.0,40.816326530612244,98.0,2721.3856582790613
NEE,38.07812738418579,39.0,48.0,44.827586206896555,87.0,1832.6168866157532
TSM,-14.291176080703735,25.0,36.0,40.98360655737705,61.0,1838.6294133663177
NU,1.7999999523162842,1.0,2.0,33.33333333333333,3.0,17.47000002861023
CSX,12.472804576158524,46.0,57.0,44.66019417475729,103.0,832.450888633728
BTE,-9.810002863407135,14.0,29.0,32.55813953488372,43.0,933.4299954473972
BSX,6.6331305503845215,30.0,42.0,41.66666666666667,72.0,1602.3556294441223
DELL,54.20899772644043,9.0,7.0,56.25,16.0,611.8375301361084
EQT,-16.347130477428436,32.0,55.0,36.7816091954023,87.0,1810.8340180516243
KGC,-13.310001730918884,38.0,76.0,33.33333333333333,114.0,1187.5375012159348
IP,61.05867958068848,67.0,68.0,49.629629629629626,135.0,4187.914575099945
UBER,20.36001205444336,5.0,7.0,41.66666666666667,12.0,617.2499961853027
ABEV,0.0007648766040802002,21.0,39.0,35.0,60.0,286.22130060195923
META,239.45996284484863,13.0,12.0,52.0,25.0,4877.029987335205
XOM,74.46358942985535,55.0,91.0,37.67123287671233,146.0,5384.427987337112
UMC,-15.273243188858032,24.0,59.0,28.915662650602407,83.0,498.26296162605286
LYG,-17.950000047683716,21.0,40.0,34.42622950819672,61.0,910.8399993181229
ENPH,30.61000967025757,13.0,9.0,59.09090909090909,22.0,2681.130003929138
CX,11.931151151657104,19.0,27.0,41.30434782608695,46.0,577.6043906211853
CRWD,76.29000854492188,3.0,1.0,75.0,4.0,877.2700042724609
APH,14.666640982031822,26.0,27.0,49.056603773584904,53.0,510.9556274265051
KEY,-28.410438537597656,33.0,53.0,38.372093023255815,86.0,2159.5300788879395
RUN,12.115004062652588,8.0,10.0,44.44444444444444,18.0,691.6899962425232
QS,-9.599996566772461,4.0,7.0,36.36363636363637,11.0,310.3300004005432
KO,28.861440375447273,51.0,70.0,42.14876033057851,121.0,2971.6379388570786
V,31.9824857711792,12.0,18.0,40.0,30.0,3394.327536582947
HOOD,-23.099997520446777,1.0,4.0,20.0,5.0,173.4000015258789
ITUB,9.455460369586945,22.0,26.0,45.83333333333333,48.0,374.93325382471085
NCLH,15.269994735717773,15.0,17.0,46.875,32.0,1391.8899984359741
RIG,20.861983001232147,30.0,48.0,38.46153846153847,78.0,4031.69486027956
ERIC,-79.73601531982422,30.0,71.0,29.7029702970297,101.0,2033.8219633102417
CLF,-51.73639237880707,49.0,67.0,42.241379310344826,116.0,1767.9492219686508
BBD,-6.090328752994537,19.0,29.0,39.58333333333333,48.0,433.9041618704796
DIS,88.16554965078831,54.0,65.0,45.378151260504204,119.0,5124.186887063086
SCHW,41.57751777768135,40.0,62.0,39.21568627450981,102.0,2188.0570700466633
PYPL,-297.9650192260742,4.0,11.0,26.666666666666668,15.0,2356.160026550293
UPS,113.8224868774414,29.0,29.0,50.0,58.0,6713.767498016357
NEM,49.37772560119629,52.0,69.0,42.97520661157025,121.0,5292.140821456909
WBA,-20.049812525510788,38.0,59.0,39.175257731958766,97.0,3314.7631072998047
KDP,-87.06999778747559,12.0,24.0,33.33333333333333,36.0,2113.7000045776367
UAA,10.22624933719635,17.0,20.0,45.94594594594595,37.0,632.3562451601028
PCG,-39.150004386901855,34.0,51.0,40.0,85.0,3030.1274976730347
WFC,16.045952320098877,51.0,72.0,41.46341463414634,123.0,3150.05677652359
MRVL,6.8712475299835205,21.0,29.0,42.0,50.0,1221.1668741703033
S,-18.49000072479248,1.0,5.0,16.666666666666664,6.0,223.60999965667725
ASX,0.11244070529937744,21.0,41.0,33.87096774193548,62.0,403.06073820590973
PINS,-76.20999717712402,2.0,8.0,20.0,10.0,595.2999992370605
WMB,17.73245406150818,33.0,41.0,44.5945945945946,74.0,1548.5899443626404
IQ,-29.424999237060547,3.0,9.0,25.0,12.0,237.07499980926514
HAL,66.81552362442017,52.0,60.0,46.42857142857143,112.0,2401.8998217582703
VLY,-10.709731340408325,37.0,93.0,28.46153846153846,130.0,1458.459299325943
QCOM,58.416223764419556,38.0,34.0,52.77777777777778,72.0,3737.3698513507843
NOK,37.41952848434448,41.0,44.0,48.23529411764706,85.0,1280.3529732227325
LTMAY,-17622.468627929688,21.0,31.0,40.38461538461539,52.0,978818.4968261719
HST,2.7986247539520264,37.0,69.0,34.90566037735849,106.0,1986.2717185020447
LUV,19.70931814610958,51.0,53.0,49.03846153846153,104.0,2441.4768922775984
C,381.76236629486084,56.0,55.0,50.45045045045045,111.0,15647.835181236267
PATH,-41.609999656677246,3.0,6.0,33.33333333333333,9.0,424.56999683380127
JOBY,-5.459999084472656,2.0,13.0,13.333333333333334,15.0,144.11999940872192
PBR,24.548129081726074,23.0,21.0,52.27272727272727,44.0,886.659378528595
IAG,3.22999906539917,25.0,37.0,40.32258064516129,62.0,490.9300001859665
PTEN,35.95280909538269,26.0,49.0,34.66666666666667,75.0,1073.014375448227
AES,-6.824735403060913,25.0,42.0,37.3134328358209,67.0,1158.4674158096313
SQ,76.61997413635254,9.0,6.0,60.0,15.0,2054.300003051758
HPE,3.6478471755981445,6.0,12.0,33.33333333333333,18.0,278.3550338745117
KVUE,-1.1900005340576172,2.0,1.0,66.66666666666666,3.0,65.15999984741211
STX,68.13998508453369,18.0,20.0,47.368421052631575,38.0,1814.6400108337402
MAT,-18.533917546272278,47.0,79.0,37.301587301587304,126.0,2556.5820854902267
GME,23.492500364780426,19.0,32.0,37.254901960784316,51.0,623.5424998402596
AMAT,-20.08905351907015,42.0,56.0,42.857142857142854,98.0,2542.2271021082997
BXMT,-580.5499353408813,39.0,156.0,20.0,195.0,33123.99996185303
AMCR,-0.470001220703125,7.0,17.0,29.166666666666668,24.0,308.82999992370605
ARM,0.0,0.0,0.0,0.0,0.0,0.0
TOST,-16.029996871948242,1.0,6.0,14.285714285714285,7.0,239.56999683380127
STLA,15.856046676635742,17.0,15.0,53.125,32.0,544.7494769096375
VST,7.430000305175781,7.0,8.0,46.666666666666664,15.0,350.7899990081787
U,-4.880022048950195,2.0,6.0,25.0,8.0,734.1400146484375
MO,63.22090757638216,55.0,70.0,44.0,125.0,3594.904483743012
BCS,-3.188751220703125,38.0,67.0,36.19047619047619,105.0,2376.8230514526367
ABT,28.299137353897095,41.0,49.0,45.55555555555556,90.0,2820.2183735966682
SLB,-38.329044342041016,42.0,54.0,43.75,96.0,4470.186553955078
CSGP,56.19605910778046,31.0,29.0,51.66666666666667,60.0,1329.904007256031
BTG,-3.340001195669174,19.0,38.0,33.33333333333333,57.0,204.03000023961067
XPEV,-1.220001220703125,2.0,7.0,22.22222222222222,9.0,152.8700008392334
JCI,-12.529521942138672,31.0,41.0,43.05555555555556,72.0,3099.790994644165
SHOP,12.20199728012085,6.0,10.0,37.5,16.0,783.8299922943115
TXN,108.00386571884155,58.0,55.0,51.32743362831859,113.0,4457.526054382324
KHC,-6.844995498657227,8.0,12.0,40.0,20.0,1473.7049961090088
ON,10.143754243850708,15.0,25.0,37.5,40.0,856.40749335289
COIN,-37.9699592590332,3.0,4.0,42.857142857142854,7.0,1728.0099983215332
USB,51.9330652654171,51.0,71.0,41.80327868852459,122.0,2427.257491737604
RF,-25.067952871322632,29.0,40.0,42.028985507246375,69.0,1404.4085094928741
TEVA,-4.540153533220291,46.0,67.0,40.707964601769916,113.0,2366.1186058223248
TTD,36.188998222351074,7.0,8.0,46.666666666666664,15.0,754.3760013580322
ALTM,-0.5578372478485107,6.0,8.0,42.857142857142854,14.0,125.32418775558472
MS,93.63874912261963,31.0,27.0,53.44827586206896,58.0,2875.386254310608
BABA,-306.2699775695801,7.0,14.0,33.33333333333333,21.0,4691.329982757568
TME,3.3100008964538574,4.0,8.0,33.33333333333333,12.0,109.99999904632568
NYCB,-29.914664268493652,27.0,49.0,35.526315789473685,76.0,3248.3003516197205
INFY,-6.3497074842453,28.0,33.0,45.90163934426229,61.0,750.9733077287674
MCHP,37.632291197776794,30.0,36.0,45.45454545454545,66.0,1976.8443304300308
OWL,1.380000114440918,3.0,3.0,50.0,6.0,99.28999996185303
SBUX,-0.45125532150268555,27.0,41.0,39.705882352941174,68.0,2868.9345371723175
ROKU,-243.57000732421875,5.0,12.0,29.411764705882355,17.0,2805.7000007629395
LI,32.22000694274902,5.0,4.0,55.55555555555556,9.0,245.23999786376953
CVS,3.452516049146652,42.0,67.0,38.53211009174312,109.0,3287.98124986887
PCAR,38.88212376832962,41.0,60.0,40.5940594059406,101.0,2224.926253259182
HL,0.15083539485931396,50.0,93.0,34.96503496503497,143.0,1470.1408324241638
IBN,9.270910322666168,23.0,31.0,42.592592592592595,54.0,655.5390949845314
TFC,28.82318413257599,45.0,67.0,40.17857142857143,112.0,3544.3829197883606
PM,37.739994049072266,11.0,15.0,42.30769230769231,26.0,2478.1199989318848
IOVA,-381.94999599456787,12.0,30.0,28.57142857142857,42.0,2141.569999217987
GE,5.322246074676514,61.0,77.0,44.20289855072464,138.0,11482.873500108719
CFG,9.129980087280273,7.0,11.0,38.88888888888889,18.0,862.9600086212158
GGB,1.297485589981079,24.0,41.0,36.92307692307693,65.0,398.52689331769943
GPS,37.09341126680374,39.0,53.0,42.391304347826086,92.0,1981.1128610819578
ORCL,-8.850489661097527,45.0,41.0,52.32558139534884,86.0,2130.7854149639606
GLW,-2.84542977809906,34.0,46.0,42.5,80.0,1792.6933352947235
BP,42.70977735519409,62.0,71.0,46.616541353383454,133.0,4257.303421854973
FTI,7.126359701156616,17.0,29.0,36.95652173913043,46.0,1021.5007495880127
MNST,6.456433574669063,28.0,95.0,22.76422764227642,123.0,666.1375732356682
CVE,5.699998378753662,11.0,16.0,40.74074074074074,27.0,728.7499985694885
IPG,5.399433195590973,40.0,49.0,44.9438202247191,89.0,1515.7576441764832
DAL,28.90999126434326,15.0,19.0,44.11764705882353,34.0,1200.260004043579
RTX,41.37343627214432,61.0,73.0,45.52238805970149,134.0,3392.62939453125
CNH,0.6699924468994141,12.0,22.0,35.294117647058826,34.0,486.27000427246094
JNJ,43.56230856478214,51.0,57.0,47.22222222222222,108.0,5117.258043289185
FLEX,11.997217655181885,30.0,36.0,45.45454545454545,66.0,651.0251060724258
CPNG,5.679999351501465,4.0,5.0,44.44444444444444,9.0,301.8199996948242
JPM,45.8663911819458,46.0,49.0,48.421052631578945,95.0,5690.134426116943
NVAX,-328.08993577957153,19.0,42.0,31.147540983606557,61.0,6265.499972343445
GILD,12.550052136182785,32.0,48.0,40.0,80.0,2778.460959583521
LVS,64.00999975204468,16.0,23.0,41.02564102564102,39.0,2738.82000875473
WMG,3.120006561279297,3.0,8.0,27.27272727272727,11.0,405.3999996185303
IBM,-27.5178279876709,60.0,75.0,44.44444444444444,135.0,9612.41488981247
BZ,-23.420001983642578,0.0,9.0,0.0,9.0,289.1999969482422
AFRM,2.840001106262207,3.0,11.0,21.428571428571427,14.0,680.8300008773804
AA,-38.901158809661865,56.0,72.0,43.75,128.0,4866.15381860733
SMCI,88.97994136810303,14.0,26.0,35.0,40.0,2053.070014476776
MRK,33.34858676791191,53.0,66.0,44.537815126050425,119.0,4942.168340653181
VFC,-13.149643987417221,41.0,49.0,45.55555555555556,90.0,2336.819296568632
HPQ,3.024461656808853,55.0,80.0,40.74074074074074,135.0,1672.4023581668735
STM,-11.990414142608643,35.0,46.0,43.20987654320987,81.0,2063.1862449645996
UAL,14.680006504058838,10.0,20.0,33.33333333333333,30.0,1534.1299958229065
ABBV,72.18001556396484,12.0,9.0,57.14285714285714,21.0,2303.6699867248535
DKNG,-105.45999717712402,2.0,5.0,28.57142857142857,7.0,326.1000003814697
BLCO,-7.939998626708984,0.0,8.0,0.0,8.0,160.88000106811523
SNOW,49.280029296875,4.0,4.0,50.0,8.0,1883.660011291504
CVX,100.90654563903809,57.0,88.0,39.310344827586206,145.0,6887.233892440796
HIMS,7.547999858856201,5.0,7.0,41.66666666666667,12.0,118.82000017166138
CELH,23.650003157556057,15.0,75.0,16.666666666666664,90.0,224.12666346877813
CDE,143.25000190734863,47.0,82.0,36.434108527131784,129.0,12662.985001802444
PG,-29.391173481941223,55.0,61.0,47.41379310344828,116.0,4705.781654715538
PR,-3.541997879743576,5.0,7.0,41.66666666666667,12.0,106.60799911618233
AUR,-0.7749985456466675,2.0,5.0,28.57142857142857,7.0,37.519999384880066
OTIS,-4.080009460449219,1.0,6.0,14.285714285714285,7.0,552.9700088500977
PEP,25.24712246656418,48.0,60.0,44.44444444444444,108.0,5865.758710086346
JD,-3.7999839782714844,9.0,18.0,33.33333333333333,27.0,1423.5399932861328
MCD,-11.114614620804787,55.0,68.0,44.71544715447154,123.0,6952.523553237319
FTV,7.305473327636719,7.0,10.0,41.17647058823529,17.0,1355.7595443725586
EBAY,-28.323786973953247,18.0,28.0,39.130434782608695,46.0,1255.7253580093384
HLN,-0.720001220703125,1.0,4.0,20.0,5.0,41.84000015258789
FHN,-7.071752190589905,42.0,36.0,53.84615384615385,78.0,1607.6591711044312
SPOT,-91.30998992919922,3.0,9.0,25.0,12.0,2772.6100006103516
HMY,8.715000748634338,45.0,42.0,51.724137931034484,87.0,812.8550013303757
OXY,25.124588012695312,33.0,63.0,34.375,96.0,4252.328876495361
UPST,-49.98000621795654,1.0,5.0,16.666666666666664,6.0,405.23000621795654
GEV,0.0,0.0,0.0,0.0,0.0,0.0
IVZ,23.36500072479248,21.0,30.0,41.17647058823529,51.0,1515.6100010871887
WOLF,-39.45690441131592,31.0,61.0,33.69565217391305,92.0,3646.1300134658813
ALKS,-5.133737564086914,28.0,46.0,37.83783783783784,74.0,1962.1425008773804
CTRA,-4.673322081565857,32.0,36.0,47.05882352941176,68.0,1042.13165807724
ABNB,-14.899978637695312,2.0,6.0,25.0,8.0,1220.2900009155273
WDC,45.425015687942505,46.0,65.0,41.44144144144144,111.0,3331.552498817444
M,43.083741188049316,36.0,36.0,50.0,72.0,2262.803750514984
KSS,-44.834983825683594,27.0,52.0,34.177215189873415,79.0,4161.413747787476
MDLZ,-12.360002517700195,11.0,38.0,22.448979591836736,49.0,2232.7799949645996
UEC,0.4399997591972351,16.0,30.0,34.78260869565217,46.0,141.69000053405762
AROC,-33.079999923706055,15.0,21.0,41.66666666666667,36.0,1023.1800017356873
AQN,-0.4399991035461426,15.0,33.0,31.25,48.0,471.8399991989136
NWL,-16.985615253448486,41.0,57.0,41.83673469387755,98.0,2110.2174954414368
PARA,-11.220001220703125,19.0,28.0,40.42553191489361,47.0,2046.3299984931946
DVN,32.19623851776123,36.0,53.0,40.44943820224719,89.0,3480.2550106048584
EXC,13.607988357543945,39.0,54.0,41.935483870967744,93.0,2013.2923908233643
MDT,26.10386946797371,47.0,68.0,40.869565217391305,115.0,4868.900084465742
COTY,-11.790003776550293,7.0,21.0,25.0,28.0,500.4300022125244
KOS,2.1199976205825806,13.0,23.0,36.11111111111111,36.0,306.12000048160553
BEKE,-20.2600040435791,2.0,6.0,25.0,8.0,205.65000247955322
KIM,35.46549987792969,30.0,37.0,44.776119402985074,67.0,1580.4161024093628
FI,17.140747129917145,34.0,48.0,41.46341463414634,82.0,2447.339712560177
BA,209.36450096964836,55.0,86.0,39.00709219858156,141.0,7731.46288600564
DOC,37.22835826873779,32.0,36.0,47.05882352941176,68.0,1558.9610524177551
FTNT,-1.0579994916915894,11.0,13.0,45.83333333333333,24.0,542.5339971780777
