,Total Gain,Positive Gains,Negative Gains,Win %,Total Trades,Total Investment
NVDA,14.898646123707294,27.0,25.0,51.92307692307693,52.0,255.8604039400816
ETRN,12.559999942779541,8.0,6.0,57.14285714285714,14.0,130.6599998474121
TSLA,139.53732311725616,13.0,18.0,41.935483870967744,31.0,2410.1180003881454
F,38.84114223718643,50.0,56.0,47.16981132075472,106.0,1363.3425473570824
T,-5.5850725173950195,30.0,49.0,37.9746835443038,79.0,2067.505746126175
BHC,58.745612144470215,29.0,29.0,50.0,58.0,2034.2335472106934
INTC,-6.727834403514862,40.0,56.0,41.66666666666667,96.0,2955.227667629719
SIRI,78.1574995815754,25.0,31.0,44.642857142857146,56.0,526.3074988126755
GOOGL,44.1097846031189,20.0,14.0,58.82352941176471,34.0,2371.2222900390625
PLTR,-3.029998779296875,5.0,4.0,55.55555555555556,9.0,160.9099998474121
AAPL,203.1833473443985,39.0,30.0,56.52173913043478,69.0,1601.0797289535403
AMD,100.26958394050598,53.0,54.0,49.532710280373834,107.0,2568.542496442795
AAL,-25.559991598129272,15.0,23.0,39.473684210526315,38.0,1055.7199919223785
NIO,3.82999587059021,8.0,9.0,47.05882352941176,17.0,280.2400014400482
ET,12.874993324279785,15.0,15.0,50.0,30.0,434.81500244140625
RIVN,10.500007629394531,3.0,9.0,25.0,12.0,436.9600009918213
CMG,12.32300090789795,20.0,20.0,50.0,40.0,506.39400112628937
MARA,-155.52000427246094,11.0,19.0,36.666666666666664,30.0,1328.7700024843216
BAC,16.8309588432312,41.0,49.0,45.55555555555556,90.0,2395.962812900543
SOFI,7.53000020980835,4.0,8.0,33.33333333333333,12.0,143.15000009536743
AMZN,41.95422098040581,28.0,20.0,58.333333333333336,48.0,2182.4144099354744
LCID,-16.119998455047607,3.0,7.0,30.0,10.0,201.08999872207642
CLSK,-9.429998636245728,6.0,10.0,37.5,16.0,347.2399979829788
CCL,78.47248363494873,46.0,38.0,54.761904761904766,84.0,2933.819995880127
AVTR,-2.1299896240234375,4.0,11.0,26.666666666666668,15.0,448.3099956512451
GOOG,25.553109645843506,19.0,18.0,51.35135135135135,37.0,2571.9370460510254
RIOT,1.72000253200531,6.0,12.0,33.33333333333333,18.0,253.51999926567078
MU,-23.057504564523697,36.0,51.0,41.37931034482759,87.0,2178.2475114166737
CSCO,-38.41359958052635,21.0,44.0,32.30769230769231,65.0,2160.799373075366
AVGO,19.74798083305359,15.0,16.0,48.38709677419355,31.0,1164.036010503769
AGNC,4.189995765686035,12.0,20.0,37.5,32.0,747.1700010299683
WBD,-39.621760845184326,14.0,23.0,37.83783783783784,37.0,958.1532368659973
CMCSA,12.775913849473,38.0,55.0,40.86021505376344,93.0,1470.8240553289652
PFE,-6.336723238229752,41.0,67.0,37.96296296296296,108.0,1899.1339437067509
VZ,3.365133285522461,33.0,62.0,34.73684210526316,95.0,4152.570285797119
VRT,8.139999389648438,5.0,13.0,27.77777777777778,18.0,265.4099988937378
LW,-36.58998489379883,5.0,9.0,35.714285714285715,14.0,1352.4799880981445
WMT,11.82814015680924,52.0,53.0,49.523809523809526,105.0,1656.8393279318698
HBAN,11.68965458869934,40.0,55.0,42.10526315789473,95.0,1403.2443480491638
GOLD,20.23625135421753,36.0,50.0,41.86046511627907,86.0,2267.154998779297
