Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2024-02-08,128,MBLPO,27.44,133.5,133.5,133.5,133.5,133.50,500.00,136.00,"66,750.00",1,-2.5,0.00,-1.84,0.0,0.0,136.00,133.50
2024-02-15,123,MBLPO,44.29,131.0,131.0,131.0,131.0,131.00,"61,665.00",133.50,"8,078,115.00",1,-2.5,0.0,-1.87,0.0,0.0,136.00,131.00
2024-03-21,129,MBLPO,45.7,113.0,113.0,113.0,113.0,113.00,"10,737,000.00",131.00,"1,213,281,000.00",11,0.00,0.00,0.0,0.0,0.0,136.00,113.00
2024-05-21,128,MBLPO,45.1,113.0,113.0,113.0,113.0,113.00,"59,656.00",113.00,"6,741,128.00",1,0.00,0.0,0.0,0.0,0.0,133.50,113.00
