Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-08-10,51,GUFLPO,26.64,255.0,255.0,255.0,255.0,255.00,"7,000.00",255.00,"1,785,000.00",4,0.0,0.00,0.0,0.0,0.0,258.00,255.00
2022-12-15,64,GUFLPO,33.61,284.0,284.0,284.0,284.0,284.00,"42,632.00",284.00,"12,107,488.00",22,0.0,0.0,0.0,0.0,0.0,284.00,255.00
2023-05-07,64,GUFLPO,26.37,289.0,289.0,289.0,289.0,289.00,"12,563.00",284.00,"3,630,707.00",3,5.0,0.0,1.76,0.0,0.0,289.00,255.00
2024-03-27,72,GUFLPO,38.71,432.0,432.0,432.0,432.0,432.00,"1,587.00",432.00,"685,584.00",1,0.0,0.00,0.0,0.0,0.0,432.00,289.00
2024-06-19,69,GUFLPO,50.97,355.0,355.0,355.0,355.0,355.00,"55,000.00",355.00,"19,525,000.00",1,0.0,0.0,0.0,0.0,0.0,432.00,355.00
