Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low,120 Days,180 Days
2022-08-04,107,NBF3,36.71,8.5,8.59,8.34,8.43,8.47,"8,400.00",8.60,"71,167.00",19,-0.17,0.25,-1.98,3.0,-0.5,10.08,7.86,,
2022-08-05,106,NBF3,31.68,8.59,8.59,8.3,8.3,8.44,"6,670.00",8.43,"56,290.00",9,-0.13,0.29,-1.54,3.49,-1.68,10.08,7.86,,
2022-08-07,108,NBF3,52.2,8.41,8.41,8.06,8.36,8.24,"51,120.00",8.30,"421,057.00",49,0.06,0.35,0.72,4.34,1.48,10.08,7.86,,
2022-08-08,106,NBF3,40.13,8.22,8.51,8.22,8.45,8.44,"2,000.00",8.36,"16,875.00",15,0.09,0.29,1.08,3.53,0.15,10.08,7.86,,
2022-08-09,110,NBF3,42.73,8.29,8.39,8.14,8.25,8.29,"16,600.00",8.45,"137,595.00",23,-0.2,0.25,-2.37,3.07,-0.47,10.08,7.86,,
2022-08-10,111,NBF3,41.9,8.09,8.25,8.09,8.24,8.15,"8,100.00",8.25,"65,994.00",18,-0.01,0.16,-0.12,1.98,1.12,10.08,7.86,,
2022-08-11,113,NBF3,39.07,8.3,8.33,8.15,8.2,8.20,"8,530.00",8.24,"69,916.00",20,-0.04,0.18,-0.49,2.21,0.04,10.08,7.86,,
2022-08-14,110,NBF3,34.17,8.04,8.2,8.0,8.12,8.11,"12,085.00",8.20,"98,024.00",35,-0.08,0.2,-0.98,2.5,0.11,10.08,7.86,,
2022-08-15,105,NBF3,39.45,7.96,8.12,7.96,8.11,8.09,"5,500.00",8.12,"44,492.00",22,-0.01,0.16,-0.12,2.01,0.25,10.08,7.86,,
2022-08-16,112,NBF3,32.73,8.15,8.15,8.0,8.15,8.14,"2,900.00",8.11,"23,599.00",10,0.04,0.15,0.49,1.88,0.15,10.08,7.86,,
2022-08-17,110,NBF3,39.36,8.05,8.15,8.05,8.1,8.11,"16,800.00",8.15,"136,211.00",21,-0.05,0.1,-0.61,1.24,-0.1,10.08,7.86,,
2022-08-18,108,NBF3,40.7,8.06,8.2,8.06,8.1,8.12,"9,389.00",8.10,"76,224.50",20,0.0,0.14,0.0,1.74,-0.23,10.08,7.86,,
2022-08-21,107,NBF3,43.82,8.0,8.16,7.98,8.1,8.04,"42,608.00",8.10,"342,492.34",53,0.0,0.18,0.0,2.26,0.76,10.08,7.86,,
2022-08-22,108,NBF3,41.15,7.97,8.1,7.95,8.1,7.97,"14,600.00",8.10,"116,311.00",23,0.0,0.15,0.0,1.89,1.65,10.08,7.86,,
2022-08-23,109,NBF3,41.76,7.96,8.36,7.96,8.1,8.18,"13,500.00",8.10,"110,379.00",30,0.0,0.4,0.0,5.03,-0.94,10.08,7.86,,
2022-08-24,109,NBF3,45.91,7.95,8.35,7.95,8.15,8.23,"15,600.00",8.10,"128,458.00",29,0.05,0.4,0.62,5.03,-1.04,10.08,7.86,,
2022-08-25,111,NBF3,44.34,8.01,8.17,8.0,8.15,8.15,"8,250.00",8.15,"67,227.50",19,0.0,0.17,0.0,2.13,0.01,10.08,7.86,,
2022-08-26,104,NBF3,34.63,8.15,8.15,7.91,8.06,8.03,"2,100.00",8.15,"16,870.00",9,-0.09,0.24,-1.1,3.03,0.33,10.08,7.86,,
2022-08-28,111,NBF3,36.59,8.0,8.1,7.94,7.95,7.97,"31,804.00",8.06,"253,626.80",38,-0.11,0.16,-1.36,2.02,-0.31,10.08,7.86,,
2022-08-29,110,NBF3,33.41,7.95,8.01,7.71,7.71,7.89,"20,220.00",7.95,"159,631.20",34,-0.24,0.3,-3.02,3.89,-2.4,10.08,7.71,,
2022-08-30,113,NBF3,38.1,7.64,8.28,7.64,8.12,8.07,"14,295.00",7.71,"115,355.80",29,0.41,0.64,5.32,8.38,0.62,10.08,7.64,,
2022-08-31,109,NBF3,32.6,8.12,8.12,8.0,8.0,8.06,"4,045.00",8.12,"32,611.05",17,-0.12,0.12,-1.48,1.5,-0.78,10.08,7.64,,
