Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-08-07,126,NICLBSLP,47.87,525.0,525.0,525.0,525.0,525.00,"83,660.00",494.70,"43,921,500.00",1,30.3,0.0,6.12,0.0,0.0,650.00,494.70
2022-08-09,129,NICLBSLP,48.61,514.5,514.5,514.5,514.5,514.50,"87,780.00",525.00,"45,162,810.00",1,-10.5,0.0,-2.0,0.0,0.0,650.00,494.70
2022-08-14,129,NICLBSLP,42.64,504.3,504.3,504.3,504.3,504.30,"88,000.00",514.50,"44,378,400.00",1,-10.2,0.0,-1.98,0.0,0.0,650.00,494.70
2022-08-23,126,NICLBSLP,44.25,504.2,504.2,504.2,504.2,504.20,"84,720.00",504.30,"42,715,824.00",1,-0.1,0.0,-0.02,0.0,0.0,650.00,494.70
2022-10-12,127,NICLBSLP,36.23,504.2,504.2,504.2,504.2,379.54,"50,000.00",504.20,"18,977,000.00",4,0.0,0.0,0.0,0.0,24.72,650.00,494.70
