Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,52 Weeks High,52 Weeks Low
2022-10-23,95,MEROPO,40.24,535.0,535.0,535.0,535.0,535.00,"1,000.00",519.00,"535,000.00",1,16.0,0.0,3.08,0.0,0.0,535.00,100.00
2022-11-06,97,MEROPO,31.64,519.0,519.0,519.0,519.0,487.00,"80,000.00",519.00,"38,960,000.00",1,0.0,0.0,0.0,0.0,6.17,535.00,100.00
2023-02-28,108,MEROPO,23.14,356.0,356.0,356.0,356.0,356.00,"26,400.00",356.00,"9,398,400.00",1,0.0,0.0,0.0,0.0,0.0,535.00,356.00
2023-07-11,118,MEROPO,30.79,227.0,227.0,226.0,226.0,226.43,"23,140.00",356.00,"5,239,640.00",3,0.0,1.00,0.0,0.44,-0.19,535.00,226.00
