Date,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
2022-12-01,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2022-12-14,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-01-30,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-04-07,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-04-15,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-04-18,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-04-27,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-05-08,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-05-10,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-05-23,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2023-09-28,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2024-01-14,73,H8020,52.65,10.0,10.0,9.0,10.0,9.36,"11,380.00",0.00,"106,564.20",80,10.0,1.0,0.0,11.11,6.36,,,10.00,9.00
2024-01-16,75,H8020,48.28,9.9,10.1,9.0,9.03,9.26,"12,850.00",10.00,"119,027.00",43,-0.97,1.1,-9.7,12.22,-2.58,,,10.10,9.00
2024-01-17,73,H8020,45.09,8.9,9.2,8.9,9.1,8.96,"9,250.00",9.03,"82,910.50",51,0.07,0.3,0.78,3.37,1.5,,,10.10,8.90
2024-01-18,71,H8020,43.22,9.0,9.1,8.6,8.9,8.82,"6,460.00",9.10,"56,957.70",49,-0.2,0.50,-2.2,5.81,0.93,,,10.10,8.60
2024-01-21,74,H8020,46.39,8.73,8.9,8.56,8.8,8.77,"11,010.00",8.90,"96,540.50",61,-0.1,0.34,-1.12,3.97,0.36,,,10.10,8.56
2024-01-22,72,H8020,49.03,8.97,8.97,8.63,8.71,8.70,"3,500.00",8.80,"30,459.00",23,-0.09,0.34,-1.02,3.94,0.09,,,10.10,8.56
2024-01-23,78,H8020,61.77,9.79,10.17,9.6,9.75,9.70,"326,950.00",9.98,"3,172,337.60",58,-0.23,0.57,-2.3,5.94,0.48,8.95,0.00,10.17,8.30
2024-01-24,76,H8020,53.92,8.6,9.04,8.6,8.9,8.85,"6,500.00",8.70,"57,495.00",35,0.2,0.44,2.3,5.12,0.61,,,10.10,8.56
2024-01-25,73,H8020,52.71,8.74,8.97,8.61,8.83,8.82,"4,100.00",8.90,"36,160.00",26,-0.07,0.36,-0.79,4.18,0.12,,,10.10,8.56
2024-01-28,74,H8020,54.32,8.66,9.0,8.6,8.76,8.87,"5,600.00",8.83,"49,657.00",31,-0.07,0.4,-0.79,4.65,-1.23,,,10.10,8.56
2024-01-29,73,H8020,52.41,8.61,8.89,8.61,8.76,8.75,"3,900.00",8.76,"34,133.00",29,0.0,0.28,0.0,3.25,0.09,,,10.10,8.56
2024-01-30,74,H8020,54.7,8.76,8.82,8.63,8.7,8.72,"12,830.00",8.76,"111,816.60",26,-0.06,0.19,-0.68,2.2,-0.18,,,10.10,8.56
2024-01-31,74,H8020,49.74,8.6,8.87,8.6,8.87,8.74,"4,050.00",8.70,"35,388.50",25,0.17,0.27,1.95,3.14,1.49,,,10.10,8.56
2024-02-01,75,H8020,44.5,8.71,8.8,8.71,8.8,8.75,600.00,8.87,"5,249.00",6,-0.07,0.09,-0.79,1.03,0.59,,,10.10,8.56
2024-02-04,74,H8020,49.72,8.65,8.97,8.65,8.8,8.79,"3,800.00",8.80,"33,414.00",18,0.0,0.32,0.0,3.7,0.08,,,10.10,8.56
2024-02-05,74,H8020,50.86,8.63,8.87,8.63,8.8,8.67,"3,200.00",8.80,"27,750.00",14,0.0,0.24,0.0,2.78,1.46,,,10.10,8.56
2024-02-06,75,H8020,47.02,8.66,8.88,8.66,8.71,8.77,"1,400.00",8.80,"12,284.00",12,-0.09,0.22,-1.02,2.54,-0.74,,,10.10,8.56
2024-02-07,76,H8020,49.58,8.6,8.9,8.58,8.76,8.82,"2,750.00",8.71,"24,266.00",17,0.05,0.32,0.57,3.73,-0.73,,,10.10,8.56
2024-02-08,75,H8020,46.14,8.76,8.93,8.66,8.7,8.76,"2,500.00",8.76,"21,895.00",12,-0.06,0.27,-0.68,3.12,-0.67,,,10.10,8.56
2024-02-11,74,H8020,47.18,8.7,9.09,8.58,8.74,8.80,"2,550.00",8.70,"22,443.50",17,0.04,0.51,0.46,5.94,-0.7,,,10.10,8.56
2024-02-12,75,H8020,51.81,8.74,8.74,8.62,8.7,8.69,"3,500.00",8.74,"30,404.00",16,-0.04,0.12,-0.46,1.39,0.15,,,10.10,8.56
2024-02-13,73,H8020,51.03,8.7,8.87,8.68,8.87,8.74,"1,400.00",8.70,"12,233.00",11,0.17,0.19,1.95,2.19,1.49,,,10.10,8.56
2024-02-14,73,H8020,58.03,8.8,9.0,8.8,9.0,8.96,"6,510.00",8.87,"58,304.00",10,0.13,0.2,1.47,2.27,0.49,,,10.10,8.56
2024-02-15,74,H8020,60.2,8.82,8.9,8.72,8.76,8.73,"207,700.00",9.00,"1,813,673.00",15,-0.24,0.18,-2.67,2.06,0.32,,,10.10,8.56
2024-02-18,76,H8020,56.64,8.76,9.63,8.76,8.94,9.15,"42,720.00",8.76,"390,746.20",53,0.18,0.87,2.05,9.93,-2.31,,,10.10,8.56
2024-02-20,73,H8020,47.25,9.0,9.15,8.85,9.0,9.01,"7,750.00",8.94,"69,852.50",24,0.06,0.3,0.67,3.39,-0.15,,,10.10,8.56
2024-02-21,73,H8020,35.43,8.82,8.82,8.63,8.63,8.80,"2,300.00",9.00,"20,249.00",5,-0.37,0.19,-4.11,2.2,-2.02,,,10.10,8.56
2024-02-22,73,H8020,58.39,8.46,9.01,8.46,8.83,9.00,"108,900.00",8.63,"979,663.00",41,0.20,0.55,2.32,6.5,-1.88,,,10.10,8.46
